empleado_id,nombre,apellido,sexo,fecha_nacimiento,fecha_alta,departamento_id,departamento,puesto,salario,estado
1,Aurelia,Macías,Mujer,1976-10-03,2019-07-12,1,Dirección,Director General,53824.96,Baja
2,Donato,Hervás,Hombre,1977-01-29,2014-06-19,1,Dirección,Director General,49677.58,Baja
3,Modesto,Perelló,Hombre,1990-11-07,2017-05-31,2,RRHH,Técnico RRHH,28245.82,Activo
4,Pacífica,Quintero,Mujer,1989-10-22,2011-11-20,2,RRHH,Técnico RRHH,27200.31,Activo
5,Herminia,Dávila,Mujer,1979-02-26,2019-01-12,3,Contabilidad,Contable,31567.18,Activo
6,Dalila,Bayona,Mujer,1993-08-19,2013-12-24,3,Contabilidad,Contable,24146.89,Activo
7,Hilda,Albero,Mujer,2000-06-24,2021-11-25,3,Contabilidad,Contable,31292.25,Activo
8,Begoña,García,Mujer,1994-12-15,2023-04-18,4,Ventas,Comercial,39688.17,Activo
9,Sosimo,Clemente,Hombre,1996-03-01,2018-11-30,4,Ventas,Comercial,24784.89,Baja
10,Severino,Canales,Hombre,1995-06-29,2025-04-23,4,Ventas,Comercial,39662.36,Activo
11,Bautista,Trillo,Hombre,1993-03-04,2018-02-06,4,Ventas,Comercial,31463.29,Activo
12,Macarena,Tomé,Mujer,1972-02-01,2013-12-24,4,Ventas,Comercial,33303.33,Activo
13,Cirino,Clavero,Hombre,1970-10-26,2025-02-28,4,Ventas,Comercial,35509.95,Vacaciones
14,Atilio,Prats,Hombre,1992-12-25,2020-08-13,4,Ventas,Comercial,29355.4,Activo
15,Macaria,Querol,Mujer,2003-07-09,2018-06-19,4,Ventas,Comercial,34940.29,Activo
16,Eligia,Castell,Mujer,1977-05-05,2012-04-03,4,Ventas,Comercial,39737.39,Activo
17,María Carmen,Aramburu,Mujer,1989-09-18,2017-01-21,4,Ventas,Comercial,23048.7,Vacaciones
18,Nico,Miranda,Hombre,1969-07-28,2015-01-09,5,Distribución,Repartidor,25580.5,Activo
19,Anastasio,Pastor,Hombre,1967-09-25,2018-01-20,5,Distribución,Repartidor,25399.41,Activo
20,Irma,Prada,Mujer,1993-01-13,2021-09-19,5,Distribución,Repartidor,27146.7,Baja
21,Pastora,Hernando,Mujer,1995-01-26,2020-11-28,5,Distribución,Repartidor,28767.85,Activo
22,Natanael,Muñoz,Hombre,1997-11-28,2019-12-08,5,Distribución,Repartidor,24563.21,Activo
23,Candelario,Vilaplana,Hombre,1973-05-25,2021-08-02,5,Distribución,Repartidor,22797.36,Activo
24,Juan Luis,Guijarro,Hombre,1991-01-20,2017-06-09,5,Distribución,Repartidor,29072.72,Activo
25,Mariano,Rivero,Hombre,1975-11-16,2019-06-02,5,Distribución,Repartidor,29282.74,Activo
26,Andrés,Noriega,Hombre,1982-02-27,2026-05-21,5,Distribución,Repartidor,21469.91,Activo
27,Severino,Tamarit,Hombre,1972-10-05,2025-11-05,5,Distribución,Repartidor,24498.59,Activo
28,Nuria,Moreno,Mujer,2005-11-30,2017-04-14,6,Almacén,Mozo de almacén,24904.37,Activo
29,Amaro,Rivero,Hombre,1980-03-02,2015-02-05,6,Almacén,Mozo de almacén,24652.96,Activo
30,Elvira,Ferrández,Mujer,1977-09-27,2020-10-26,6,Almacén,Mozo de almacén,26608.87,Activo
